provider_id,provider_name,policy_url,domains
46,Adriver,https://www.adriver.ru/about/privacy-en/,ad.adriver.ru adriver.ru boom-stage.adriver.ru boom1.adriver.ru cgi.adriver.ru content.adriver.ru datariver.ru dsp-moderation.adriver.ru dsp.adriver.ru dsp.soloway.ru dsp2.adriver.ru ead.adriver.ru edp2.adriver.ru exposure.adriver.ru foo.datariver.ru fp-content.adriver.ru fp.adriver.ru fp.fap1.adriver.ru gb*.adriver.ru gz.adriver.ru js.adriver.ru kz.kaztel1.adriver.ru kz1.adriver.ru lb*.adriver.ru log3.adriver.ru lw1.adriver.ru masterh*.adriver.ru media.soloway.ru mh6.adriver.ru mh8.adriver.ru mirror*.adriver.ru pb.soloway.ru rad*.adriver.ru rdg1.adriver.ru rosst.adriver.ru rsport.adriver.ru servers1.adriver.ru servers2.adriver.ru servers3.adriver.ru servers5.adriver.ru sib-content.adriver.ru sib.sib1.adriver.ru sib.sib2.adriver.ru sibtel.adriver.ru soloway.ru ssl-hosts.adriver.ru st*.adriver.ru tag.datariver.ru tags.adriver.ru tags.soloway.ru test.datariver.ru tns.adriver.ru tvad.adriver.ru tvod.adriver.ru ua*.adriver.ru ua.colo2.adriver.ru ua.un1.adriver.ru web.adriver.ru web.soloway.ru www.adriver.ru www.datariver.ru www.soloway.ru zbs.adriver.ru
48,Integral Ad Science,http://www.integralads.com/privacy-policy,302br.net adsafeprotected.com amidt.adsafeprotected.com amifw.adsafeprotected.com amipixel.adsafeprotected.com amisc.iasds01.com amistatic.adsafeprotected.com appvast.adsafeprotected.com azadt.adsafeprotected.com azafw.adsafeprotected.com azapixel.adsafeprotected.com azasc.iasds01.com azastatic.adsafeprotected.com azjdt.adsafeprotected.com azjfw.adsafeprotected.com azjpixel.adsafeprotected.com azjsc.iasds01.com azjstatic.adsafeprotected.com bapi.adsafeprotected.com cdn.adsafeprotected.com ci.iasds01.com d291gmt65i2gs5.cloudfront.net daldt.adsafeprotected.com dalfw.adsafeprotected.com dalpixel.adsafeprotected.com dalsc.iasds01.com dalstatic.adsafeprotected.com diag.adsafeprotected.com dt.adsafeprotected.com dt.adsaprotected.com dt.iasds01.com dtias.adsafeprotected.com dtvc.adsafeprotected.com fw.adsafeprotected.com fwapi.adsafeprotected.com fwias.adsafeprotected.com fwvc.adsafeprotected.com hnyhnyhny.com log.adsafeprotected.com mobile.adsafeprotected.com nyidt.adsafeprotected.com nyifw.adsafeprotected.com nyipixel.adsafeprotected.com nyisc.iasds01.com nyistatic.adsafeprotected.com pixel.adsafeprotected.com pixel.iasds01.com pm.adsafeprotected.com sc.iasds01.com sfw.adsafeprotected.com sjedt.adsafeprotected.com sjefw.adsafeprotected.com sjepixel.adsafeprotected.com sjesc.iasds01.com sjestatic.adsafeprotected.com spixel.adsafeprotected.com static.adsafeprotected.com static.iasds01.com staticvc.adsafeprotected.com vans.adsafeprotected.com vast.adsafeprotected.com vastpixel.adsafeprotected.com video.adsafeprotected.com
55,Adtelligence,https://adtelligence.com/en/data-privacy/,adtelligence.de
57,Adverline,https://www.adverline.com/privacy/privacy.html,adnext.fr ads.adverline.com ads2.adverline.com
61,Artsai,http://www.artsai.com/home/privacy/,adx.adxcel-ec2.com adxcel-ec2.com adxcel.com artsai.com cf.adxcel-ec2.com
62,comScore,https://www.comscore.com/About-comScore/Privacy-Policy,a.scorecardresearch.com ads.measuredads.com ads.scorecardresearch.com adxpose.com ar.voicefive.com b-stage.measuread.com b.measuread.com b.measuredads.com b.scorecardresearch.com b.voicefive.com c.scorecard.com j.mdotlabs.com p.mdotlabs.com p2.mdotlabs.com s.voicefive.com sa.scorecardresearch.com sb.scorecardresearch.com sb.voicefive.com sc.scorecardresearch.com tags.mdotlabs.com u.mdotlabs.com v.mdotlabs.com
66,affilinet,https://www.affili.net/uk/footeritem/privacy-policy,act.epartner.es act.reussissonsensemble.fr act.samenresultaat.nl act.successfultogether.co.uk act.webmasterplan.com banners.contentfeed.net banners.webmasterplan.com banniere.reussissonsensemble.fr become.successfultogether.co.uk being.successfultogether.co.uk c.epartner.es c.reussissonsensemble.fr c.samenresultaat.nl c.successfultogether.co.uk c.webmasterplan.com clic.reussissonsensemble.fr consent.epartner.es consent.reussissonsensemble.fr consent.samenresultaat.nl consent.successfultogether.co.uk consent.webmasterplan.com html-links.com logos.affili.net p.epartner.es p.reussissonsensemble.fr p.samenresultaat.nl p.webmasterplan.com partners.webmasterplan.com prdimg.affili.net program.epartner.es pubmon.affili.net web.epartner.es worden.samenresultaat.nl zijn.samenresultaat.nl
70,Akamai,http://www.akamai.com/compliance/privacy,abmr.net akamai.net akamaihd.net akamaized.net cdn-guile.akamaized.net edgesuite.net http16600.storage.akadns.net http20802.storage.akadns.net
80,AppNexus,https://www.appnexus.com/en/company/platform-privacy-policy,247media.macc.skcdn.com 247realmedia.co.kr ad.realmedia.co.kr adcdn.247realmedia.co.kr adnxs.com adx.ib.sin1.geoadnxs.com c1.247realmedia.co.kr c1.realmedia.co.kr oasc-eu1.247realmedia.com oasn04.247realmedia.com
83,Arbigo Inc.,http://www.arbigo.com/terms--policy.html,a.adlithium.com adlithium.com ads.adlithium.com arbigo.com c.adlithium.com click.adlithium.com engine.adlithium.com f.adlithium.com i.adlithium.com manage.adlithium.com r.adlithium.com rtb.adlithium.com static.adlithium.com
85,AdSpirit AdServer,https://www.adspirit.de/datenschutz00.0.html,cdn.adspirit.de cdn.adspirit.net clicktrack.adspirit.net lbad.adspirit.net lbad1.adspirit.net
86,Taboola,https://www.taboola.com/privacy-policy,admailtiser.com cbarsrv.com continular.com genorithm.com gogorithm.com nanoadbite.com semanticontext.com taboola.com tractionize.com trc.taboola.com us-trc.taboola.com zorosrv.com
89,Facebook,https://www.facebook.com/about/privacy/update,ad4.liverail.com atdmt.com cdn-secure.liverail.com cdn-static-secure.liverail.com cdn-static.liverail.com cdn.liverail.com dyn.atdmt.com facebook.com fbcdn.net liverail.com t4.liverail.com vox-static.liverail.com
93,Aunica,https://www.aunica.com.br/privacy/privacy.html,aunica.com sandbox.aunica.com
108,Booking.com,https://www.booking.com/content/privacy.en-gb.html,booking.com www.booking.com
117,direct interactive,https://www.apartena.net/datenschutzerklaerung.html,trck.apartena.net
122,C3 Metrics,https://c3metrics.com/privacy,c3metrics.com c3tag.com
124,CapitalData,https://www.capitaldata.fr/charte-vie-privee-display-personnalise/,bid0.kdata.fr cdn.kdata.fr data-capital.com data-capital.fr images-clients.kdata.fr kdata.fr kdatabidder.com reporting.kdata.fr tracking.kdata.fr
125,E-Planning,https://www.e-planning.net/en/privacy.html,adstudiomobile.com e-planning.net
126,Index Exchange,http://www.indexexchange.com/privacy/,a*.casalemedia.com as-sec.casalemedia.com as.casalemedia.com casalemedia.com cdn-sec.optmd.com cdn.optmd.com dsum-sec.casalemedia.com dsum.casalemedia.com ebda-apac.casalemedia.com ebda-eu.casalemedia.com ebda-us-east.casalemedia.com ebda-us-west.casalemedia.com optmd.com r.casalemedia.com ssum-sec.casalemedia.com ssum.casalemedia.com
131,Chitika,https://chitika.com/privacy-policy/,chitika.net
134,Platform161,https://platform161.com/cookie-and-privacy-policy/,ads.creative-serving.com ads.p161.net creative-serving.com
135,ClickForce,http://www.clickforce.com.tw/site/privacyPolicy,ad.doublemax.net c.doublemax.net cft.doublemax.net clg.doublemax.net doublemax.net hx1.doublemax.net lg.doublemax.net m.doublemax.net mt.doublemax.net static.doublemax.net t.doublemax.net tad.doublemax.net vast.doublemax.net
